N;n;alpha;beta;NSim;psiu;a;b;seed;e_ij.dist;u_i.dist
30;5;0.05;0;1000;0;0;0;411626907;N(0, 1);N(0, 1)
30;5;0.1;0;1000;0;0;0;346722682;N(0, 1);N(0, 1)
30;5;0.15;0;1000;0;0;0;291634581;N(0, 1);N(0, 1)
30;10;0.05;0;1000;0;0;0;429286871;N(0, 1);N(0, 1)
30;10;0.1;0;1000;0;0;0;422942535;N(0, 1);N(0, 1)
30;10;0.15;0;1000;0;0;0;539307225;N(0, 1);N(0, 1)
30;15;0.05;0;1000;0;0;0;550571764;N(0, 1);N(0, 1)
30;15;0.1;0;1000;0;0;0;473747098;N(0, 1);N(0, 1)
30;15;0.15;0;1000;0;0;0;518591983;N(0, 1);N(0, 1)
30;20;0.05;0;1000;0;0;0;232238495;N(0, 1);N(0, 1)
30;20;0.1;0;1000;0;0;0;158512930;N(0, 1);N(0, 1)
30;20;0.15;0;1000;0;0;0;334782586;N(0, 1);N(0, 1)
50;5;0.05;0;1000;0;0;0;521735483;N(0, 1);N(0, 1)
50;5;0.1;0;1000;0;0;0;538863856;N(0, 1);N(0, 1)
50;5;0.15;0;1000;0;0;0;396288544;N(0, 1);N(0, 1)
50;10;0.05;0;1000;0;0;0;370423776;N(0, 1);N(0, 1)
50;10;0.1;0;1000;0;0;0;492877216;N(0, 1);N(0, 1)
50;10;0.15;0;1000;0;0;0;349905435;N(0, 1);N(0, 1)
50;15;0.05;0;1000;0;0;0;586295931;N(0, 1);N(0, 1)
50;20;0.05;0;1000;0;0;0;554190743;N(0, 1);N(0, 1)
50;15;0.1;0;1000;0;0;0;286665453;N(0, 1);N(0, 1)
50;15;0.15;0;1000;0;0;0;172443406;N(0, 1);N(0, 1)
50;20;0.1;0;1000;0;0;0;209247576;N(0, 1);N(0, 1)
50;20;0.15;0;1000;0;0;0;241893333;N(0, 1);N(0, 1)
